model,heuristic,heuristic_type,noise_free_reactions,noisy_reactions,total_reactions,passed_tp,filtered_fn,passed_fp,filtered_tn,noise_free_data_saved_rate,noisy_data_filtered_rate,denoising_accuracy
gpt-5.4-low,many_reagents,Many-reagents,283,117,400,237,46,112,5,0.837456,0.042735,0.605000
gpt-5.4-low,no_reagent,No-reagent,283,117,400,234,49,83,34,0.826855,0.290598,0.670000
gpt-5.4-low,rare_template,Template-anomaly,283,117,400,241,42,64,53,0.851590,0.452991,0.735000
gpt-5.4-high,many_products,Many-products,283,117,400,195,88,105,12,0.689046,0.102564,0.517500
gpt-5.4-high,many_reactants,Many-reactants,283,117,400,241,42,89,28,0.851590,0.239316,0.672500
gpt-5.4-high,many_reagents,Many-reagents,283,117,400,239,44,112,5,0.844523,0.042735,0.610000
gpt-5.4-high,no_reagent,No-reagent,283,117,400,237,46,82,35,0.837456,0.299145,0.680000
gpt-5.4-high,rare_template,Template-anomaly,283,117,400,226,57,58,59,0.798587,0.504274,0.712500
gpt-5.6-sol-none,many_products,Many-products,283,117,400,197,86,105,12,0.696113,0.102564,0.522500
gpt-5.6-sol-none,many_reactants,Many-reactants,283,117,400,246,37,87,30,0.869258,0.256410,0.690000
gpt-5.6-sol-none,many_reagents,Many-reagents,283,117,400,238,45,113,4,0.840989,0.034188,0.605000
gpt-5.6-sol-none,no_reagent,No-reagent,283,117,400,239,44,79,38,0.844523,0.324786,0.692500
gpt-5.6-sol-none,rare_template,Template-anomaly,283,117,400,214,69,65,52,0.756184,0.444444,0.665000
gpt-5.6-sol-low,many_products,Many-products,283,117,400,197,86,105,12,0.696113,0.102564,0.522500
gpt-5.6-sol-low,many_reactants,Many-reactants,283,117,400,244,39,88,29,0.862191,0.247863,0.682500
gpt-5.6-sol-low,many_reagents,Many-reagents,283,117,400,239,44,112,5,0.844523,0.042735,0.610000
gpt-5.6-sol-low,no_reagent,No-reagent,283,117,400,238,45,81,36,0.840989,0.307692,0.685000
gpt-5.6-sol-low,rare_template,Template-anomaly,283,117,400,213,70,63,54,0.752650,0.461538,0.667500
gpt-5.6-sol-high,many_products,Many-products,283,117,400,194,89,104,13,0.685512,0.111111,0.517500
gpt-5.6-sol-high,many_reactants,Many-reactants,283,117,400,245,38,91,26,0.865724,0.222222,0.677500
gpt-5.6-sol-high,many_reagents,Many-reagents,283,117,400,244,39,113,4,0.862191,0.034188,0.620000
gpt-5.6-sol-high,no_reagent,No-reagent,283,117,400,236,47,81,36,0.833922,0.307692,0.680000
gpt-5.6-sol-high,rare_template,Template-anomaly,283,117,400,208,75,58,59,0.734982,0.504274,0.667500
gemini-2.5-flash-none,many_products,Many-products,283,117,400,195,88,105,12,0.689046,0.102564,0.517500
gemini-2.5-flash-none,many_reactants,Many-reactants,283,117,400,242,41,86,31,0.855124,0.264957,0.682500
gemini-2.5-flash-none,many_reagents,Many-reagents,283,117,400,239,44,113,4,0.844523,0.034188,0.607500
gemini-2.5-flash-none,no_reagent,No-reagent,283,117,400,236,47,93,24,0.833922,0.205128,0.650000
gemini-2.5-flash-none,rare_template,Template-anomaly,283,117,400,233,50,56,61,0.823322,0.521368,0.735000
gemini-3.1-pro-preview-low,many_products,Many-products,283,117,400,196,87,102,15,0.692580,0.128205,0.527500
gemini-3.1-pro-preview-low,many_reactants,Many-reactants,283,117,400,242,41,85,32,0.855124,0.273504,0.685000
gemini-3.1-pro-preview-low,many_reagents,Many-reagents,283,117,400,236,47,111,6,0.833922,0.051282,0.605000
gemini-3.1-pro-preview-low,no_reagent,No-reagent,283,117,400,234,49,74,43,0.826855,0.367521,0.692500
gemini-3.1-pro-preview-low,rare_template,Template-anomaly,283,117,400,231,52,72,45,0.816254,0.384615,0.690000
gemini-3.1-pro-preview-high,many_products,Many-products,283,117,400,193,90,102,15,0.681979,0.128205,0.520000
gemini-3.1-pro-preview-high,many_reactants,Many-reactants,283,117,400,239,44,84,33,0.844523,0.282051,0.680000
gemini-3.1-pro-preview-high,many_reagents,Many-reagents,283,117,400,234,49,112,5,0.826855,0.042735,0.597500
gemini-3.1-pro-preview-high,no_reagent,No-reagent,283,117,400,234,49,79,38,0.826855,0.324786,0.680000
gemini-3.1-pro-preview-high,rare_template,Template-anomaly,283,117,400,235,48,65,52,0.830389,0.444444,0.717500
gemini-3.6-flash-low,many_products,Many-products,283,117,400,196,87,102,15,0.692580,0.128205,0.527500
gemini-3.6-flash-low,many_reactants,Many-reactants,283,117,400,242,41,84,33,0.855124,0.282051,0.687500
gemini-3.6-flash-low,many_reagents,Many-reagents,283,117,400,238,45,111,6,0.840989,0.051282,0.610000
gemini-3.6-flash-low,no_reagent,No-reagent,283,117,400,235,48,81,36,0.830389,0.307692,0.677500
gemini-3.6-flash-low,rare_template,Template-anomaly,283,117,400,237,46,66,51,0.837456,0.435897,0.720000
gemini-3.6-flash-high,many_products,Many-products,283,117,400,193,90,103,14,0.681979,0.119658,0.517500
gemini-3.6-flash-high,many_reactants,Many-reactants,283,117,400,237,46,83,34,0.837456,0.290598,0.677500
gemini-3.6-flash-high,many_reagents,Many-reagents,283,117,400,235,48,112,5,0.830389,0.042735,0.600000
gemini-3.6-flash-high,no_reagent,No-reagent,283,117,400,234,49,84,33,0.826855,0.282051,0.667500
gemini-3.6-flash-high,rare_template,Template-anomaly,283,117,400,244,39,62,55,0.862191,0.470085,0.747500
